Index Name,Return,Volatility,Risk
NIFTY SME EMERGE,36.13,12.73,12.73
Nifty India Defence,33.27,22.07,22.07
Nifty India Railways PSU,32.98,22.71,22.71
Nifty Capital Markets,27.81,21.42,21.42
ICICI PRU SILVER,23.86,19.55,19.55
NIFTY Midcap150 Momentum 50,22.25,17.55,17.55
Nifty MidSmallcap400 Momentum Quality 100,20.94,16.67,16.67
NIFTY500 MOMENTUM 50,20.82,18.61,18.61
Nifty MidSmall Healthcare,20.47,15.03,15.03
NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR),19.74,19.2,19.2
NIFTY500 MULTIFACTOR MQVLv 50,19.66,14.37,14.37
NIFTY MIDCAP LIQUID 15,19.35,20.85,20.85
NIFTY INDIA CORPORATE GROUP INDEX - MAHINDRA GROUP,19.22,22.64,22.64
NIFTY200 MOMENTUM 30,19.07,18.59,18.59
NIFTY50 VALUE 20,18.64,14.78,14.78
NIFTY CHEMICALS,18.46,18.05,18.05
NIFTY ALPHA 50,18.15,20.49,20.49
NIFTY ALPHA LOW VOLATILITY 30,17.98,14.36,14.36
Nifty Financial Services Ex Bank,17.95,21.88,21.88
Nifty Transportation & Logistics,17.84,17.14,17.14
NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30,17.81,14.16,14.16
Nifty Smallcap250 Quality 50,17.75,16.21,16.21
NIFTY CONSUMER DURABLES,17.73,19.59,19.59
NIFTY ALPHA QUALITY LOW VOLATILITY 30,17.66,14.16,14.16
NIFTY PRIVATE BANK,17.64,23.35,23.35
NIFTY200 ALPHA 30,17.6,20.16,20.16
NIFTY GROWTH SECTORS 15,17.57,13.53,13.53
NIFTY FINANCIAL SERVICES 25/50,17.57,21.59,21.59
NIFTY AUTO,17.55,18.99,18.99
Nifty500 Flexicap Quality 30,17.54,12.98,12.98
NIFTY Midcap150 Quality 50,17.46,14.7,14.7
Nifty Mobility,17.46,17.59,17.59
NIFTY200 Quality 30,17.45,14.93,14.93
NIFTY500 LOW VOLATILITY 50,17.39,13.4,13.4
Nifty EV & New Age Automotive,17.02,16.02,16.02
NIFTY500 QUALITY 50,16.97,15.09,15.09
NIFTY 100 LOW VOLATILITY 30,16.8,14.04,14.04
NIFTY LOW VOLATILITY 50,16.79,13.46,13.46
NIFTY FINANCIAL SERVICES,16.7,22.11,22.11
Nifty200 Value 30,16.61,21.82,21.82
NIFTY MIDCAP 150,16.46,17.34,17.34
NIFTY500 VALUE 50,16.36,21.43,21.43
NIFTY FMCG,16.24,15.75,15.75
NIFTY Midcap 100,16.21,17.68,17.68
NIFTY100 ALPHA 30,16.06,18.38,18.38
NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP,15.94,19.54,19.54
Nifty MidSmall Financial Services,15.91,20.58,20.58
NIFTY MIDSMALLCAP 400,15.74,17.31,17.31
NIFTY MNC,15.53,15.22,15.22
NIFTY MICROCAP 250,15.48,19.09,19.09
Nifty MidSmall India Consumption,15.47,16.52,16.52
NIFTY LargeMidcap 250,15.26,16.72,16.72
NIFTY CPSE,15.21,17.89,17.89
NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP,15.2,20.32,20.32
Nifty Midcap Select,15.15,21.09,21.09
NIFTY BANK,15.13,22.82,22.82
NIFTY NEXT 50,15.12,19.01,19.01
DSP ELSS,15.11,15.27,15.27
NIFTY500 MULTICAP 50:25:25,15.09,16.52,16.52
NIFTY500 MULTICAP INDIA MANUFATURING 50:30:20,15.05,17.71,17.71
Nifty India Manufacturing,15.03,17.49,17.49
NIFTY SHARIAH 25,15.0,13.57,13.57
NIFTY OIL AND GAS INDEX,14.94,19.87,19.87
Nifty Rural,14.88,17.27,17.27
NIFTY INDIA CONSUMPTION,14.78,15.51,15.51
NIFTY IT,14.52,20.25,20.25
Nifty100 ESG Sector Leaders,14.45,12.89,12.89
NIFTY 100 EQUAL WEIGHT,14.45,17.34,17.34
Nifty Core Housing,14.44,20.5,20.5
Nifty Non-Cyclical Consumer Index,14.4,15.39,15.39
NIFTY50 EQUAL WEIGHT,14.32,17.31,17.31
NIFTY TOP 15 EQUAL WEIGHT,14.3,18.16,18.16
NIFTY SMALLCAP 250,14.28,17.85,17.85
Nifty HEALTHCARE,14.25,15.34,15.34
Nifty Total Market,14.21,16.83,16.83
NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20,14.15,18.36,18.36
UTI FLEX,14.13,14.26,14.26
NIFTY 100,14.09,17.27,17.27
KOTAK CONTRA,14.07,15.27,15.27
NIFTY 500,14.0,16.85,16.85
AXIS INNOVATION,13.96,11.13,11.13
NIFTY 200,13.92,17.08,17.08
NIFTY 50,13.86,17.33,17.33
NIFTY SERVICES SECTOR,13.8,18.19,18.19
NIFTY500 EQUAL WEIGHT,13.79,17.18,17.18
NIFTY TOP 10 EQUAL WEIGHT,13.76,18.34,18.34
Nifty Housing,13.62,20.55,20.55
NIFTY MIDCAP 50,13.62,20.84,20.84
NIFTY TOP 20 EQUAL WEIGHT,13.61,17.83,17.83
NIFTY METAL,13.56,27.42,27.42
NIFTY ENERGY,13.52,19.7,19.7
NIFTY DIVIDEND OPPORTUNITIES 50,13.28,15.42,15.42
NIFTY100 Enhanced ESG,13.26,13.66,13.66
NIFTY100 ESG,13.19,13.66,13.66
Nifty REITs & InvITs,13.12,9.76,9.76
NIFTY PHARMA,13.09,16.24,16.24
NIFTY100 QUALITY 30,13.08,12.13,12.13
DSP QUANT,13.01,13.53,13.53
NIFTY COMMODITIES,12.8,19.81,19.81
Nifty MidSmall IT & Telecom,12.78,19.22,19.22
NIFTY INDIA INFRASTRUCTURE & LOGISTICS,12.75,19.19,19.19
NIFTY SMALLCAP 100,12.72,21.15,21.15
NIFTY500 SHARIAH,12.35,15.65,15.65
NIFTY INDIA NEW AGE CONSUMPTION,12.33,18.95,18.95
Nifty India Digital,11.9,18.1,18.1
NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP,11.28,21.99,21.99
NIFTY PSE,11.18,19.42,19.42
KOTAK GOLD,11.16,11.44,11.44
NIFTY100 LIQUID 15,10.87,17.87,17.87
NIFTY SMALLCAP 50,10.6,20.83,20.83
NIFTY PSU BANK,10.14,28.09,28.09
NIFTY INDIA TOURISM,10.14,21.65,21.65
NIFTY50 SHARIAH,10.12,16.56,16.56
NIFTY INFRASTRUCTURE,10.05,20.16,20.16
Nifty India Internet,9.92,20.08,20.08
NIFTY IPO,9.46,15.24,15.24
NIFTY 10 YR BENCHMARK G-SEC.1,6.69,3.94,3.94
NIFTY 10 YR BENCHMARK G-SEC,6.69,3.94,3.94
NIFTY HIGH BETA 50,6.09,26.86,26.86
NIFTY MEDIA,3.06,23.21,23.21
Nifty Waves,1.58,21.72,21.72
NIFTY REALTY,0.26,32.13,32.13
